#No,SensorName,RasberryPiID,ArduinoID,温度(日時)
072,SENSOR072,28-0000064814AA,28AA1448060000C3,26.31(2015/05/12 10:28)
073,SENSOR073,28-000006480F83,28830F48060000EF,25.75(2015/05/12 11:24)
074,SENSOR074,28-00000646EF7A,287AEF46060000C4,25.81(2015/05/12 12:54)
075,SENSOR075,28-00000647E7D7,28D7E74706000063,26.06(2015/05/12 11:28)
076,SENSOR076,28-000006479BB0,28B09B4706000069,26.00(2015/05/12 12:59)
077,SENSOR077,28-000006467C6F,286F7C460600008D,25.31(2015/05/12 10:47)
078,SENSOR078,28-000006479C22,28229C47060000E7,26.00(2015/05/12 10:29)
079,SENSOR079,28-000006465FD2,28D25F4606000076,26.25(2015/05/12 11:26)
080,SENSOR080,28-00000646BF5B,285BBF46060000D0,25.19(2015/05/12 11:40)
081,SENSOR081,28-00000647EDD3,28D3ED4706000002,26.75(2015/05/12 10:26)
082,SENSOR082,28-000006483030,283030480600005A,26.06(2015/05/12 11:19)
083,SENSOR083,28-00000646B9A3,28A3B9460600009F,24.81(2015/05/12 11:48)
084,SENSOR084,28-00000647EF72,2872EF47060000EA,26.50(2015/05/12 10:33)
085,SENSOR085,28-000006470A6A,286A0A4706000018,25.44(2015/05/12 10:48)
086,SENSOR086,28-000006470A0B,280B0A47060000EC,25.94(2015/05/12 11:36)
087,SENSOR087,28-000006481179,287911480600008C,25.44(2015/05/12 12:00)
088,SENSOR088,28-00000647DC41,2841DC4706000094,26.37(2015/05/12 11:38)
089,SENSOR089,28-000006470C08,28080C4706000029,25.62(2015/05/12 11:45)
090,SENSOR090,28-00000647D891,2891D8470600004F,25.19(2015/05/12 11:35)
091,SENSOR091,28-0000064721C9,28C9214706000095,28.00(2015/05/12 11:25)
092,SENSOR092,28-00000646E4E2,28E2E446060000A4,25.69(2015/05/12 10:42)
093,SENSOR093,28-00000647EC77,2877EC470600004F,25.75(2015/05/12 12:51)
094,SENSOR094,28-000006470473,2873044706000077,25.69(2015/05/12 11:45)
095,SENSOR095,28-00000647181A,281A18470600007F,26.00(2015/05/12 12:59)
096,SENSOR096,28-000006466B69,28696B4606000012,25.06(2015/05/12 11:41)
097,SENSOR097,28-0000064696FE,28FE96460600006C,25.56(2015/05/12 9:59)
098,SENSOR098,28-00000647499F,289F494706000026,26.12(2015/05/12 12:53)
099,SENSOR099,28-000006473B74,28743B4706000019,24.94(2015/05/12 9:53)
100,SENSOR100,28-000006480110,28100148060000A5,25.19(2015/05/12 10:41)
101,SENSOR101,28-00000646A3B1,28B1A3460600006B,24.62(2015/05/12 11:49)
102,SENSOR102,28-00000647B860,2860B8470600001B,25.31(2015/05/12 12:01)
103,SENSOR103,28-00000647DC8E,288EDC470600002F,25.87(2015/05/12 11:21)
104,SENSOR104,28-000006479409,2809944706000097,28.50(2015/05/12 12:49)
105,SENSOR105,28-000006473ED0,28D03E470600004B,26.25(2015/05/12 12:58)
106,SENSOR106,28-00000647ED5D,285DED47060000FB,26.06(2015/05/12 12:58)
107,SENSOR107,28-0000064624C0,28C024460600005E,25.00(2015/05/12 11:33)
108,SENSOR108,28-00000647D104,2804D147060000E6,26.06(2015/05/12 11:42)
109,SENSOR109,28-0000064633C8,28C83346060000D2,25.87(2015/05/12 12:55)
110,SENSOR110,28-00000647AAD6,28D6AA4706000051,24.50(2015/05/12 11:51)
111,SENSOR111,28-00000646671E,281E67460600002E,26.06(2015/05/12 11:27)
112,SENSOR112,28-00000646B9A6,28A6B94606000074,25.75(2015/05/12 11:46)
113,SENSOR113,28-0000064691D2,28D29146060000F6,25.75(2015/05/12 12:56)
114,SENSOR114,28-00000646BD0A,280ABD460600004A,25.12(2015/05/12 10:44)
115,SENSOR115,28-000006466FE6,28E66F46060000C3,25.50(2015/05/12 10:50)
116,SENSOR116,28-000006473E24,28243E47060000E5,25.69(2015/05/12 11:47)
117,SENSOR117,28-00000646CF2E,282ECF46060000CE,26.00(2015/05/12 13:00)
118,SENSOR118,28-000006479A0F,280F9A4706000087,26.00(2015/05/12 12:52)
119,SENSOR119,28-00000647A803,2803A847060000FD,25.62(2015/05/12 13:01)
120,SENSOR120,28-000006475082,28825047060000B8,27.06(2015/05/12 10:25)
121,SENSOR121,28-000006461B0D,280D1B4606000060,26.75(2015/05/12 9:52)
122,SENSOR122,28-00000646FED2,28D2FE4606000088,27.06(2015/05/12 11:23)
123,SENSOR123,28-00000647FA6F,286FFA4706000055,25.62(2015/05/12 11:30)
124,SENSOR124,28-000006482B72,28722B480600004D,24.31(2015/05/12 10:36)
125,SENSOR125,28-000006463921,28213946060000D0,25.87(2015/05/12 12:50)
126,SENSOR126,28-000006481901,280119480600008B,27.87(2015/05/12 12:52)
127,SENSOR127,28-000006478041,2841804706000020,26.31(2015/05/12 12:55)
128,SENSOR128,28-0000064706FD,28FD06470600000D,25.94(2015/05/12 12:57)
129,SENSOR129,28-0000064693D4,28D49346060000C7,23.12(2015/05/12 13:02)
130,SENSOR130,28-00000646D98A,288AD946060000AE,26.25(2015/05/12 13:03)
